id_bu,id_bu_encuesta,encuesta,encuesta_a,encuesta_m,pond,secu,estrato,region_3,zona_u_r,gse,bienestar_2,bienestar_7_a,bienestar_7_d,bienestar_7_f,bienestar_7_b,bienestar_7_g,bienestar_7_h,bienestar_7_c,bienestar_7_e,bienestar_7_j,percepcion_1_a,percepcion_1_b,percepcion_1_c,percepcion_2,percepcion_3,percepcion_5,percepcion_6,percepcion_38,percepcion_4,eval_gob_1,iden_pol_2,eval_act_pol_1_fh,eval_act_pol_1_co,eval_act_pol_1_ae,eval_act_pol_1_el,eval_act_pol_1_dv,eval_act_pol_1_ca,eval_act_pol_1_gu,eval_act_pol_1_en,eval_act_pol_1_gm,eval_act_pol_1_em,eval_act_pol_1_hb,eval_act_pol_1_ft,eval_act_pol_1_gq,eval_act_pol_1_gw,eval_act_pol_1_hd,eval_act_pol_1_gt,confianza_6_a,confianza_6_b,confianza_6_c,confianza_6_j,confianza_6_d,confianza_6_e,confianza_6_f,confianza_6_n,confianza_6_x,confianza_6_g,confianza_6_h,confianza_6_i,confianza_6_k,confianza_6_s,confianza_6_o,confianza_6_p,confianza_6_r,confianza_6_m,confianza_6_ab,confianza_6_ac,democracia_21,ciudadania_28_c,democracia_38,democracia_39_a,democracia_39_b,democracia_40_a,democracia_40_b,democracia_40_c,democracia_40_d,religion_14,pobreza_39_a,pobreza_39_n,pobreza_39_e,pobreza_39_g,pobreza_39_h,pobreza_39_m,pobreza_112,pobreza_113,percepcion_32_a,percepcion_32_b,pobreza_63,pobreza_115,pobreza_13_a,pobreza_13_b,pobreza_13_c,bienestar_23_a,bienestar_23_b,bienestar_23_c,bienestar_23_d,bienestar_24,interes_pol_24_a,interes_pol_24_b,interes_pol_24_c,interes_pol_24_d,interes_pol_24_e,interes_pol_18_a,interes_pol_18_j,interes_pol_18_b,interes_pol_18_c,interes_pol_18_d,interes_pol_18_k,interes_pol_18_l,interes_pol_18_e,interes_pol_18_f,interes_pol_18_h,interes_pol_18_m,interes_pol_18_n,interes_pol_18_o,interes_pol_18_p,interes_pol_18_g,interes_pol_18_q,interes_pol_18_r,interes_pol_25,redes_1,redes_59_a,redes_59_b,redes_59_c,redes_59_d,redes_59_e,redes_60_a,redes_60_b,redes_61,religion_63,pobreza_62,pobreza_109_a,pobreza_109_b,pobreza_109_c,pobreza_109_d,pobreza_109_e,pobreza_109_f,pobreza_109_g,pobreza_109_h,pobreza_109_i,pobreza_1_a,pobreza_1_b,pobreza_2_a,pobreza_2_b,educacion_104_a,pobreza_75_e,pobreza_75_d,pobreza_75_c,pobreza_75_a,pobreza_75_b,pobreza_75_f,pobreza_75_g,pobreza_76_e,pobreza_76_d,pobreza_76_c,pobreza_76_a,pobreza_76_b,pobreza_76_f,pobreza_76_g,pobreza_116,interes_pol_1_b,iden_pol_3,iden_pol_3_a,elec_part_37,elec_pres_144_a,elec_pres_144_b_2,elec_pres_145_a,elec_pres_145_b,elec_pres_1,sexo,edad,info_enc_59_2,info_enc_58,info_enc_30_b,info_enc_8,estado_civil_g,info_enc_61,esc_nivel_1_c,info_enc_57,info_hogar_28_c,pobreza_100,info_enc_62
42-93,42,93,2025,3,.4110192751973049,93210,20,13,1,3,6,3,3,3,4,4,2,4,4,3,10,7,3,2,3,2,4,4,3,2,5,2,1,3,2,2,2,2,3,6,2,6,6,6,6,6,6,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,3,3,3,1,1,10,1,2,1,1,1,3,3,1,1,4,1,1,1,2,5,1,8,1,10,5,13,9,10,10,10,9,1,1,2,4,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,-9,,3,2,2,2,2,4,3,5,0,10,1,10,10,10,10,10,10,10,10,10,5,11,3,4,4,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,5,15,15,1,4,,9,1,-8,2,61,1,2,,1,1,2,3,2,3,3,8
420-93,420,93,2025,3,1.135521855405698,93064,6,5,1,2,7,3,-7,-7,4,4,5,4,4,3,11,6,10,3,2,4,3,3,2,2,5,3,3,3,6,2,6,3,6,6,6,3,6,6,6,6,6,3,4,3,4,3,2,4,3,4,3,4,4,2,3,3,3,3,3,3,3,1,3,5,2,2,2,2,1,3,2,2,2,4,2,4,1,4,1,8,7,5,3,1,9,6,7,6,3,5,2,2,4,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,12,12,12,12,12,2,4,7,5,5,6,7,0,1,3,5,5,5,6,7,6,9,3,6,2,2,2,1,1,2,2,1,1,1,1,1,1,1,3,5,15,15,1,4,,8,5,-9,1,26,1,2,,2,8,2,8,1,,3,1
421-93,421,93,2025,3,.3151795165910733,93064,6,5,1,1,7,3,-7,4,4,-7,4,4,-7,4,1,11,10,3,2,4,3,3,2,2,5,2,2,2,3,1,4,3,2,2,2,3,3,6,2,6,6,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,2,2,4,1,3,6,2,2,1,1,1,1,3,3,2,3,3,4,2,3,1,4,9,5,6,14,6,9,5,3,5,4,3,2,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,-8,2,2,2,2,,2,2,2,2,5,2,5,5,3,5,6,3,8,3,4,2,5,4,6,8,1,10,3,2,5,1,2,2,2,2,1,2,1,1,1,1,1,1,1,3,4,15,15,1,1,,2,8,-9,2,71,1,2,,1,7,2,3,1,,1,7
422-93,422,93,2025,3,.9756157155894988,93148,20,13,1,4,5,4,4,3,-7,-7,2,3,4,4,3,7,10,2,3,2,3,4,2,2,-9,2,-9,4,-9,-9,-9,-9,6,-9,-9,4,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-8,-9,-9,-9,-9,-9,-9,3,2,10,3,1,1,1,1,1,1,2,2,2,1,2,2,5,6,8,5,1,5,1,6,11,10,10,0,10,4,4,4,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,1,5,2,2,4,10,10,2,0,0,0,0,0,0,0,0,0,10,6,8,4,3,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,15,15,1,2,,13,9,-9,2,66,1,2,,1,2,2,1,1,,0,8
423-93,423,93,2025,3,.9760359739725611,93188,20,13,1,3,9,5,5,-7,5,-7,5,5,5,5,2,3,1,3,1,4,3,3,1,1,1,5,4,4,5,-9,5,6,4,6,4,4,6,4,-9,6,4,3,3,1,3,3,3,3,3,4,3,1,1,4,3,3,3,3,2,1,1,3,4,5,2,2,1,1,1,3,2,3,1,3,2,4,2,1,1,8,4,10,10,6,13,-9,5,8,10,0,3,1,1,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,,2,4,4,4,6,4,1,4,0,10,1,0,0,0,0,0,0,8,0,0,2,8,7,4,6,3,1,2,-8,2,3,3,1,1,1,1,1,1,1,1,3,15,3,1,1,,4,2,-6,1,65,1,2,,2,8,2,6,1,,6,7
424-93,424,93,2025,3,1.353532396788758,93284,15,9,2,3,7,5,5,5,4,5,3,5,5,4,26,6,12,2,3,3,1,4,2,2,-9,2,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,3,4,3,4,3,-8,4,4,4,4,4,4,3,4,4,-9,3,4,3,1,8,1,-8,1,3,1,1,1,2,-8,4,3,3,1,2,4,5,8,2,6,11,2,13,8,0,2,6,1,3,4,4,4,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,4,3,1,4,5,3,5,4,10,10,1,0,8,7,0,0,0,0,0,0,8,9,4,6,8,1,2,1,2,2,1,2,2,2,2,1,2,1,2,3,5,15,15,1,2,,3,5,13,2,52,1,2,,1,1,2,1,1,,1,1
425-93,425,93,2025,3,1.190267048100133,93065,6,5,1,3,10,4,3,5,4,3,2,5,3,3,3,6,14,3,1,2,-8,3,2,1,4,3,3,3,2,2,3,2,3,4,4,4,3,6,6,3,6,2,3,3,4,3,3,4,2,3,2,3,3,4,2,3,4,3,2,3,4,1,3,5,1,1,1,1,1,1,3,2,2,3,3,3,1,2,6,5,2,5,5,5,1,2,1,4,0,5,3,1,3,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,5,2,3,4,5,6,6,0,7,0,0,0,0,0,0,10,6,10,6,3,5,1,1,2,2,1,1,1,1,1,-8,1,1,1,1,5,4,15,15,1,1,,5,9,-9,1,59,1,2,,1,6,2,4,1,,1,10
426-93,426,93,2025,3,.3151795165910733,93064,6,5,1,2,10,4,-7,4,4,4,3,4,4,4,7,1,16,3,2,3,3,4,2,2,5,2,3,3,2,3,2,6,3,6,6,6,3,4,3,6,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,2,3,3,1,2,5,1,1,1,1,1,1,1,3,2,4,2,4,2,1,5,1,4,5,5,9,1,3,5,4,5,6,3,2,3,3,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,2,12,12,12,12,12,5,5,5,5,6,5,7,6,5,3,5,5,5,7,6,4,8,3,6,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,5,15,15,1,4,,4,5,13,2,70,1,2,,1,8,2,3,1,,0,7
427-93,427,93,2025,3,2.19897260606488,93064,6,5,1,3,5,3,3,-7,4,4,3,4,4,3,11,6,13,4,2,3,3,4,2,3,5,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,2,4,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,3,1,2,6,2,1,2,2,2,3,3,2,2,3,3,3,1,2,5,1,5,5,5,1,3,11,1,6,2,6,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,4,4,4,4,4,3,4,5,7,5,9,7,0,7,0,9,5,7,7,6,4,3,2,4,3,1,3,1,3,3,1,1,1,1,1,1,1,1,3,5,15,15,2,,1,1,11,-9,1,31,2,2,,2,8,2,4,1,,4,2
428-93,428,93,2025,3,.6303590331821467,93064,6,5,1,2,10,4,4,4,4,4,4,4,4,4,3,9,2,3,2,3,3,3,2,3,5,3,3,2,2,1,2,6,6,6,3,2,6,2,6,1,6,3,3,3,3,3,2,4,1,4,3,3,4,3,3,3,3,3,2,3,3,3,3,5,2,2,1,1,1,1,3,3,2,3,3,3,1,1,5,1,8,5,6,9,13,10,4,4,3,3,3,1,2,3,3,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,3,1,4,1,5,4,5,5,2,5,10,2,4,0,2,0,2,0,2,3,3,1,2,3,5,1,2,2,1,2,1,1,1,1,1,1,1,1,1,3,4,15,15,1,1,,1,3,-9,2,72,1,2,,1,1,2,6,1,,8,7
429-93,429,93,2025,3,1.220392630549569,93098,12,8,1,3,8,3,4,4,4,4,3,3,4,4,5,10,7,3,2,3,-8,4,2,2,-9,2,3,4,2,4,3,3,3,3,4,3,4,6,6,4,6,3,2,2,4,3,3,3,2,4,3,2,4,3,3,3,3,2,3,3,4,2,1,8,2,1,1,1,1,1,2,3,2,2,3,3,1,5,6,8,4,5,5,11,6,4,9,10,7,8,2,1,1,3,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,2,1,1,3,1,3,3,5,5,6,8,0,5,0,1,1,1,2,1,8,4,3,2,5,7,2,2,2,1,2,1,1,2,2,3,1,2,2,1,3,4,18,,1,2,,3,1,13,1,45,1,2,,1,8,2,4,1,,2,1
43-93,43,93,2025,3,.3591734879237412,93237,20,13,1,3,5,3,-7,4,4,3,3,4,4,2,6,2,11,2,2,2,3,4,3,1,-8,3,4,3,2,6,6,6,2,6,6,6,6,6,6,6,6,3,4,3,3,3,3,2,2,3,3,2,3,3,2,3,3,2,2,3,3,3,2,10,2,2,2,3,2,1,3,1,1,3,1,2,2,2,2,5,4,5,5,11,2,3,7,6,3,8,1,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,11,6,12,2,3,5,10,5,0,0,0,0,0,0,0,0,0,1,4,2,5,1,2,3,2,2,2,3,2,1,1,1,1,1,1,1,1,5,15,15,1,1,,2,1,-6,1,45,1,2,,1,8,2,3,1,,2,10
430-93,430,93,2025,3,.7198322221529141,93286,15,9,2,4,7,4,5,4,4,-7,3,2,4,3,3,5,10,2,3,3,3,4,3,2,5,2,4,3,1,4,1,4,3,6,6,6,6,6,6,4,6,3,4,1,4,3,3,3,3,3,3,1,4,4,3,2,3,2,1,3,4,1,2,6,1,1,1,2,1,2,2,2,1,3,2,2,1,2,6,5,4,5,5,9,5,4,2,3,2,6,2,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,,2,3,1,1,8,3,4,4,5,8,6,4,9,9,5,1,5,5,5,9,4,6,3,2,4,2,2,2,1,2,1,1,1,1,1,1,1,1,1,3,3,15,15,1,1,,1,8,20,2,35,1,1,5,1,2,2,4,1,,4,3
431-93,431,93,2025,3,.676766198394379,93284,15,9,2,4,7,4,-7,5,4,-7,4,4,4,5,10,12,5,2,2,3,1,-8,3,2,-9,2,4,4,2,6,4,5,6,6,6,6,6,6,6,6,6,3,3,-9,-8,3,4,3,-9,4,-9,1,3,-8,-8,3,4,3,1,1,3,-8,1,-9,2,1,1,1,1,1,2,3,2,3,2,3,1,1,4,4,5,4,7,6,13,3,7,-8,4,3,1,1,1,4,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,,3,2,8,5,8,4,5,5,4,8,8,2,8,2,6,6,6,-8,-8,7,4,6,8,2,7,1,1,2,1,1,1,-8,1,1,2,1,1,1,-8,1,5,15,15,1,-9,,5,9,-9,2,50,1,2,,1,8,2,1,1,,1,8
432-93,432,93,2025,3,1.067865966232584,93284,15,9,2,4,1,5,5,5,5,1,4,5,5,5,1,6,7,2,2,4,3,-8,2,3,-9,3,5,4,-9,3,4,4,5,4,5,5,3,4,6,6,4,3,4,2,3,-8,4,2,2,-8,4,2,3,3,-8,2,4,-8,2,3,4,3,2,10,1,1,2,1,2,2,1,1,1,3,2,1,1,4,6,6,3,1,0,9,1,14,0,10,10,0,2,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,12,2,8,5,5,5,10,1,1,0,0,10,0,0,0,0,-8,0,10,7,4,8,7,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,15,15,2,,2,11,9,-9,1,68,1,1,5,1,6,2,3,1,,3,7
433-93,433,93,2025,3,1.067865966232584,93284,15,9,2,4,9,5,-7,5,4,4,1,5,3,4,11,2,3,2,2,2,3,4,2,2,10,2,2,6,2,4,2,3,3,2,6,4,4,6,3,6,6,4,4,1,4,3,3,2,4,-8,-8,1,2,1,1,2,3,1,4,4,4,3,2,7,1,1,1,1,1,3,1,4,2,4,4,1,1,1,6,8,6,8,5,8,5,10,9,10,7,9,3,4,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,6,5,5,-8,-8,-9,-9,10,3,4,1,10,1,0,8,5,10,-8,10,3,4,10,2,9,1,3,1,1,1,1,1,1,1,1,1,1,1,2,5,5,15,15,1,-9,,9,3,-9,1,67,1,2,,1,7,2,2,1,,2,7
434-93,434,93,2025,3,1.830588945824354,93098,12,8,1,2,7,2,5,5,3,4,4,4,4,2,5,10,26,3,2,3,3,4,2,2,5,3,4,5,4,3,3,3,4,2,3,3,3,3,3,4,5,2,2,2,4,4,2,3,1,3,4,2,3,4,2,4,4,2,2,4,4,2,1,10,1,1,2,1,1,2,2,2,1,3,2,3,1,2,4,4,1,5,5,6,11,7,7,10,2,6,3,1,1,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,,2,1,1,1,5,1,1,3,0,10,1,5,2,0,5,0,5,10,5,0,1,8,3,8,5,2,2,1,2,2,2,1,1,1,2,1,2,2,1,3,1,15,15,1,1,,1,7,13,1,50,1,1,5,1,8,2,8,1,,2,1
435-93,435,93,2025,3,.7593546108212922,93007,1,1,1,2,9,1,-7,5,-7,4,4,4,-7,2,6,10,14,5,-8,4,-8,5,3,2,-9,-9,-9,-9,-9,4,-9,4,-9,6,-9,-9,6,-9,-9,4,6,-9,1,-9,3,3,3,3,3,3,3,3,4,4,3,4,-9,-9,-9,3,4,-9,3,10,2,1,1,2,1,1,-9,1,-9,1,2,1,1,5,3,1,4,1,6,14,1,6,10,10,-9,10,2,1,-9,-9,-9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,12,12,12,12,4,4,0,7,8,7,10,8,10,6,8,-9,-9,10,5,11,3,2,5,1,2,2,1,1,2,1,1,-8,-8,1,1,1,1,3,5,15,15,1,-9,,3,1,-9,2,50,1,-9,,1,8,2,-9,1,,-8,-8
